algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,1,6088,24348,36522,0.03590798377990723,Yes
DFS,1,6736,26940,26940,0.07280707359313965,Yes
UCS,1,35103,385,53454,0.39095377922058105,Yes
DLS,1,697,2784,4176,0.003990888595581055,Yes
BFS,2,311,1240,1860,0.002032756805419922,Yes
DFS,2,697,2784,2784,0.004953622817993164,Yes
UCS,2,30664,393,46890,0.2608938217163086,Yes
DLS,2,735,2936,4404,0.003989219665527344,Yes
BFS,3,7517,30064,45096,0.035907745361328125,Yes
DFS,3,15226,60900,60900,0.12370085716247559,Yes
UCS,3,29584,268,45324,0.39193010330200195,Yes
DLS,3,583,2328,3492,0.003988742828369141,Yes
BFS,4,8361,33440,50160,0.04189276695251465,Yes
DFS,4,735,2936,2936,0.0059850215911865234,Yes
UCS,4,16668,306,25692,0.10671114921569824,Yes
DLS,4,4731,18920,28380,0.05386757850646973,Yes
BFS,5,237,944,1416,0.0020313262939453125,Yes
DFS,5,583,2328,2328,0.002991914749145508,Yes
UCS,5,3595,90,5772,0.022271156311035156,Yes
DLS,5,4072,16284,24426,0.018943071365356445,Yes
BFS,6,2355,9416,14124,0.016992568969726562,Yes
DFS,6,4731,18920,18920,0.0418546199798584,Yes
UCS,6,37145,424,56424,0.31180477142333984,Yes
DLS,6,1912,7644,11466,0.014998674392700195,Yes
BFS,7,7414,29652,44478,0.034943342208862305,Yes
DFS,7,14763,59048,59048,0.09177398681640625,Yes
UCS,7,7306,124,11676,0.048848867416381836,Yes
DLS,7,2095,8376,12564,0.00996851921081543,Yes
BFS,8,5619,22472,33708,0.032915353775024414,Yes
DFS,8,11360,45436,45436,0.09278988838195801,Yes
UCS,8,18281,171,28464,0.20345354080200195,Yes
DLS,8,3120,12476,18714,0.01595759391784668,Yes
BFS,9,4581,18320,27480,0.024973630905151367,Yes
DFS,9,5069,20272,20272,0.04587745666503906,Yes
UCS,9,38451,428,58338,0.4951765537261963,Yes
DLS,9,2689,10752,16128,0.023008346557617188,Yes
BFS,10,8468,33868,50802,0.039945125579833984,Yes
DFS,10,9914,39652,39652,0.06381797790527344,Yes
UCS,10,19445,222,29964,0.21689653396606445,Yes
DLS,10,4874,19492,29238,0.02393627166748047,Yes
BFS,11,2092,8364,12546,0.010972976684570312,Yes
DFS,11,4072,16284,16284,0.039896488189697266,Yes
UCS,11,31407,475,47880,0.27528834342956543,Yes
DLS,11,191,760,1140,0.000997304916381836,Yes
BFS,12,3950,15796,23694,0.01696920394897461,Yes
DFS,12,1912,7644,7644,0.016135692596435547,Yes
UCS,12,24906,257,38118,0.265824556350708,Yes
DLS,12,4737,18944,28416,0.05186152458190918,Yes
BFS,13,5021,20080,30120,0.033461570739746094,Yes
DFS,13,9988,39948,39948,0.06782031059265137,Yes
UCS,13,37638,318,57216,0.5443935394287109,Yes
DLS,13,244,972,1458,0.0009970664978027344,Yes
BFS,14,3141,12560,18840,0.015959978103637695,Yes
DFS,14,6407,25624,25624,0.05431866645812988,Yes
UCS,14,30159,261,46284,0.46974635124206543,Yes
DLS,14,,19996,29994,,No
BFS,15,8005,32016,48024,0.037897586822509766,Yes
DFS,15,2095,8376,8376,0.015957117080688477,Yes
UCS,15,6843,131,10872,0.047917842864990234,Yes
DLS,15,,19996,29994,,No
BFS,16,7966,31860,47790,0.0767967700958252,Yes
DFS,16,3120,12476,12476,0.02297663688659668,Yes
UCS,16,24814,293,38166,0.21837496757507324,Yes
DLS,16,,19996,29994,,No
BFS,17,2487,9944,14916,0.011005878448486328,Yes
DFS,17,2689,10752,10752,0.0229036808013916,Yes
UCS,17,22126,189,34200,0.3774387836456299,Yes
DLS,17,,19996,29994,,No
BFS,18,5798,23188,34782,0.03498196601867676,Yes
DFS,18,4874,19492,19492,0.08572697639465332,Yes
UCS,18,22425,259,34566,0.1934833526611328,Yes
DLS,18,,19996,29994,,No
BFS,19,4322,17284,25926,0.026929140090942383,Yes
DFS,19,8570,34276,34276,0.09175992012023926,Yes
UCS,19,31298,382,47802,0.3226439952850342,Yes
DLS,19,,19996,29994,,No
BFS,20,79,312,468,0.0009965896606445312,Yes
DFS,20,191,760,760,0.0009965896606445312,Yes
UCS,20,1346,46,2364,0.006981372833251953,Yes
DLS,20,,19996,29994,,No
BFS,21,4479,17912,26868,0.026929855346679688,Yes
DFS,21,9035,36136,36136,0.06985259056091309,Yes
UCS,21,21900,268,33624,0.20840191841125488,Yes
DLS,21,,19996,29994,,No
BFS,22,3434,13732,20598,0.020985841751098633,Yes
DFS,22,6800,27196,27196,0.09077620506286621,Yes
UCS,22,16248,208,25176,0.12265801429748535,Yes
DLS,22,,19996,29994,,No
BFS,23,2361,9440,14160,0.013967275619506836,Yes
DFS,23,4737,18944,18944,0.04787182807922363,Yes
UCS,23,36896,400,56052,0.3710165023803711,Yes
DLS,23,,19996,29994,,No
BFS,24,9932,39724,59586,0.05016660690307617,Yes
DFS,24,244,972,972,0.000997304916381836,Yes
UCS,24,926,39,1692,0.009010791778564453,Yes
DLS,24,,19996,29994,,No
BFS,25,6898,27588,41382,0.03091716766357422,Yes
DFS,25,13571,54280,54280,0.0942378044128418,Yes
UCS,25,1223,44,2166,0.009973287582397461,Yes
DLS,25,,19996,29994,,No
BFS,26,8112,32444,48666,0.0688178539276123,Yes
DFS,26,16229,64912,64912,0.09880304336547852,Yes
UCS,26,4299,84,6960,0.026901721954345703,Yes
DLS,26,,19996,29994,,No
BFS,27,4675,18696,28044,0.02796483039855957,Yes
DFS,27,8533,34128,34128,0.1226351261138916,Yes
UCS,27,37308,403,56718,0.3755197525024414,Yes
DLS,27,,19996,29994,,No
BFS,28,6314,25252,37878,0.02996063232421875,Yes
DFS,28,12649,50592,50592,0.09371328353881836,Yes
UCS,28,36649,416,55740,0.3352038860321045,Yes
DLS,28,,19996,29994,,No
BFS,29,5530,22116,33174,0.039896488189697266,Yes
DFS,29,11073,44288,44288,0.09080624580383301,Yes
UCS,29,38728,408,58806,0.34084439277648926,Yes
DLS,29,,19996,29994,,No
BFS,30,9694,38772,58158,0.052916765213012695,Yes
DFS,30,7927,31704,31704,0.03889608383178711,Yes
UCS,30,1330,46,2322,0.007977962493896484,Yes
DLS,30,,19996,29994,,No
