algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,1,5838,23348,35022,0.05251789093017578,Yes
DFS,1,11834,47332,47332,0.08584022521972656,Yes
UCS,1,8806,112,14130,0.11330699920654297,Yes
A*,1,6879,78,10836,0.021616697311401367,Yes
DLS,1,2004,8012,12018,0.013190507888793945,Yes
BFS,2,3046,12180,18270,0.020608901977539062,Yes
DFS,2,6266,25060,25060,0.05864596366882324,Yes
UCS,2,4365,84,7182,0.03226351737976074,Yes
A*,2,7397,114,11460,0.023131608963012695,Yes
DLS,2,4124,16492,24738,0.0618896484375,Yes
BFS,3,1014,4052,6078,0.009290933609008789,Yes
DFS,3,2004,8012,8012,0.01486349105834961,Yes
UCS,3,3796,75,6330,0.03837704658508301,Yes
A*,3,355,26,894,0.0017952919006347656,Yes
DLS,3,2747,10984,16476,0.016779184341430664,Yes
BFS,4,7144,28572,42858,0.03552699089050293,Yes
DFS,4,4124,16492,16492,0.036055564880371094,Yes
UCS,4,21436,251,33102,0.2721240520477295,Yes
A*,4,74,41,438,0.0011188983917236328,Yes
DLS,4,1723,6888,10332,0.008975982666015625,Yes
BFS,5,1361,5440,8160,0.007875680923461914,Yes
DFS,5,2747,10984,10984,0.025594472885131836,Yes
UCS,5,22547,300,34734,0.19461774826049805,Yes
A*,5,83,28,492,0.0011754035949707031,Yes
DLS,5,889,3552,5328,0.008056402206420898,Yes
BFS,6,917,3664,5496,0.005186319351196289,Yes
DFS,6,1723,6888,6888,0.015758514404296875,Yes
UCS,6,35440,366,53982,0.34095287322998047,Yes
A*,6,97,18,576,0.000997304916381836,Yes
DLS,6,3710,14836,22254,0.020149707794189453,Yes
BFS,7,8027,32104,48156,0.04697990417480469,Yes
DFS,7,9167,36664,36664,0.0976102352142334,Yes
UCS,7,15454,155,24168,0.2199246883392334,Yes
A*,7,19662,139,30113,0.06186485290527344,Yes
DLS,7,2837,11344,17016,0.014960050582885742,Yes
BFS,8,8957,35824,53736,0.04801821708679199,Yes
DFS,8,16274,65092,65092,0.10673403739929199,Yes
UCS,8,12191,154,19044,0.10806035995483398,Yes
A*,8,4316,51,7098,0.015210390090942383,Yes
DLS,8,931,3720,5580,0.004319190979003906,Yes
BFS,9,3133,12528,18792,0.05294370651245117,Yes
DFS,9,6462,25844,25844,0.03582406044006348,Yes
UCS,9,29629,288,45306,0.32999563217163086,Yes
A*,9,6148,66,9953,0.020943641662597656,Yes
DLS,9,1217,4864,7296,0.008193492889404297,Yes
BFS,10,8893,35568,53352,0.05464434623718262,Yes
DFS,10,889,3552,3552,0.005239725112915039,Yes
UCS,10,14876,231,23058,0.13812685012817383,Yes
A*,10,61,9,360,0.0006799697875976562,Yes
DLS,10,1425,5696,8544,0.007097959518432617,Yes
BFS,11,1914,7652,11478,0.01929330825805664,Yes
DFS,11,3710,14836,14836,0.03220653533935547,Yes
UCS,11,38821,478,58932,0.37253808975219727,Yes
A*,11,130,38,774,0.0011718273162841797,Yes
DLS,11,3527,14104,21156,0.014108896255493164,Yes
BFS,12,6994,27972,41958,0.03602457046508789,Yes
DFS,12,14022,56084,56084,0.09258556365966797,Yes
UCS,12,11362,128,18066,0.19204449653625488,Yes
A*,12,16119,132,24918,0.07564949989318848,Yes
DLS,12,4382,17524,26286,0.0558013916015625,Yes
BFS,13,5700,22796,34194,0.06408071517944336,Yes
DFS,13,5374,21492,21492,0.04868173599243164,Yes
UCS,13,8826,169,13836,0.05483865737915039,Yes
A*,13,590,57,1620,0.004002571105957031,Yes
DLS,13,2251,9000,13500,0.01165914535522461,Yes
BFS,14,3774,15092,22638,0.03212571144104004,Yes
DFS,14,7442,29764,29764,0.07648348808288574,Yes
UCS,14,29811,427,45570,0.2657630443572998,Yes
A*,14,17776,156,27671,0.06180310249328613,Yes
DLS,14,3053,12208,18312,0.010973453521728516,Yes
BFS,15,1451,5800,8700,0.013231992721557617,Yes
DFS,15,2837,11344,11344,0.022879838943481445,Yes
UCS,15,17647,264,27192,0.14543461799621582,Yes
A*,15,7252,100,11490,0.023952484130859375,Yes
DLS,15,,19996,29994,,No
BFS,16,6414,25652,38478,0.036390066146850586,Yes
DFS,16,13032,52124,52124,0.11488151550292969,Yes
UCS,16,13917,152,21768,0.14958882331848145,Yes
A*,16,470,18,996,0.0029420852661132812,Yes
DLS,16,,19996,29994,,No
BFS,17,3288,13148,19722,0.026534080505371094,Yes
DFS,17,6653,26608,26608,0.06224679946899414,Yes
UCS,17,14556,172,22914,0.13789057731628418,Yes
A*,17,16087,168,24693,0.05042457580566406,Yes
DLS,17,,19996,29994,,No
BFS,18,491,1960,2940,0.0029685497283935547,Yes
DFS,18,931,3720,3720,0.0056915283203125,Yes
UCS,18,24453,310,37494,0.34117841720581055,Yes
A*,18,81,10,480,0.0010478496551513672,Yes
DLS,18,,19996,29994,,No
BFS,19,9698,38788,58182,0.0473935604095459,Yes
DFS,19,7352,29404,29404,0.039653778076171875,Yes
UCS,19,370,26,732,0.001615762710571289,Yes
A*,19,280,17,546,0.0006246566772460938,Yes
DLS,19,,19996,29994,,No
BFS,20,7226,28900,43350,0.0474247932434082,Yes
DFS,20,5995,23976,23976,0.05463075637817383,Yes
UCS,20,33656,301,51426,0.40529775619506836,Yes
A*,20,23816,237,36094,0.07790207862854004,Yes
DLS,20,,19996,29994,,No
BFS,21,5608,22428,33642,0.04837155342102051,Yes
DFS,21,9559,38232,38232,0.10750102996826172,Yes
UCS,21,30828,305,47166,0.3892197608947754,Yes
A*,21,32649,309,49490,0.10617184638977051,Yes
DLS,21,,19996,29994,,No
BFS,22,623,2488,3732,0.006414890289306641,Yes
DFS,22,1217,4864,4864,0.01150202751159668,Yes
UCS,22,9419,116,15000,0.11115312576293945,Yes
A*,22,2117,44,3600,0.012223005294799805,Yes
DLS,22,,19996,29994,,No
BFS,23,683,2728,4092,0.0041027069091796875,Yes
DFS,23,1425,5696,5696,0.007202625274658203,Yes
UCS,23,23404,325,35856,0.2090768814086914,Yes
A*,23,6626,152,10229,0.022797584533691406,Yes
DLS,23,,19996,29994,,No
BFS,24,9467,37864,56796,0.04877424240112305,Yes
DFS,24,3527,14104,14104,0.02723383903503418,Yes
UCS,24,17537,250,27036,0.13557910919189453,Yes
A*,24,713,21,1530,0.0029375553131103516,Yes
DLS,24,,19996,29994,,No
BFS,25,8564,34252,51378,0.042974233627319336,Yes
DFS,25,14689,58752,58752,0.13488388061523438,Yes
UCS,25,17105,194,26496,0.16305041313171387,Yes
A*,25,9339,75,14868,0.03191423416137695,Yes
DLS,25,,19996,29994,,No
BFS,26,2204,8812,13218,0.017125844955444336,Yes
DFS,26,4382,17524,17524,0.04218459129333496,Yes
UCS,26,12788,208,19932,0.11124300956726074,Yes
A*,26,64,44,378,0.0005848407745361328,Yes
DLS,26,,19996,29994,,No
BFS,27,1161,4640,6960,0.011920452117919922,Yes
DFS,27,2251,9000,9000,0.016639232635498047,Yes
UCS,27,8241,139,13140,0.07237577438354492,Yes
A*,27,5242,104,8137,0.014631032943725586,Yes
DLS,27,,19996,29994,,No
BFS,28,1414,5652,8478,0.005986452102661133,Yes
DFS,28,3053,12208,12208,0.015316247940063477,Yes
UCS,28,5654,96,9096,0.062345266342163086,Yes
A*,28,208,12,516,0.0012748241424560547,Yes
DLS,28,,19996,29994,,No
BFS,29,5067,20264,30396,0.03146243095397949,Yes
DFS,29,10214,40852,40852,0.07777738571166992,Yes
UCS,29,22795,197,35358,0.30312299728393555,Yes
A*,29,26769,202,40766,0.12065434455871582,Yes
DLS,29,,19996,29994,,No
BFS,30,6249,24992,37488,0.03767728805541992,Yes
DFS,30,9380,37516,37516,0.08594322204589844,Yes
UCS,30,38066,567,57810,0.38663530349731445,Yes
A*,30,36415,383,54944,0.12997651100158691,Yes
DLS,30,,19996,29994,,No
