Algorithm_name,reinas,env_n,states_n,solution_found,time
Hill Climbing,4,1,2,False,0.0
Simulated Annealing,4,1,42,True,0.002000093460083008
Genetic,4,1,0,True,0.000997304916381836
Hill Climbing,4,2,2,True,0.0
Simulated Annealing,4,2,19,True,0.0
Genetic,4,2,0,True,0.016388416290283203
Hill Climbing,4,3,2,False,0.0
Simulated Annealing,4,3,110,True,0.008635997772216797
Genetic,4,3,0,True,0.009030342102050781
Hill Climbing,4,4,1,False,0.0024237632751464844
Simulated Annealing,4,4,51,True,0.004071235656738281
Genetic,4,4,0,True,0.016177654266357422
Hill Climbing,4,5,2,False,0.0
Simulated Annealing,4,5,51,True,0.0009982585906982422
Genetic,4,5,0,True,0.00808405876159668
Hill Climbing,4,6,1,False,0.0
Simulated Annealing,4,6,77,True,0.003771543502807617
Genetic,4,6,0,True,0.007216453552246094
Hill Climbing,4,7,2,False,0.0
Simulated Annealing,4,7,13,True,0.0016062259674072266
Genetic,4,7,0,True,0.012459754943847656
Hill Climbing,4,8,2,True,0.0
Simulated Annealing,4,8,91,True,0.0009968280792236328
Genetic,4,8,0,True,0.015107393264770508
Hill Climbing,4,9,2,True,0.0
Simulated Annealing,4,9,65,True,0.0020666122436523438
Genetic,4,9,0,True,0.011620044708251953
Hill Climbing,4,10,1,False,0.0
Simulated Annealing,4,10,19,True,0.0010459423065185547
Genetic,4,10,0,True,0.007035970687866211
Hill Climbing,8,1,3,False,0.004621028900146484
Simulated Annealing,8,1,14527,False,1.0650885105133057
Genetic,8,1,10000,False,23.530489206314087
Hill Climbing,8,2,5,False,0.0020339488983154297
Simulated Annealing,8,2,456,True,0.06662178039550781
Genetic,8,2,2188,True,5.140860557556152
Hill Climbing,8,3,2,False,0.001994609832763672
Simulated Annealing,8,3,247,True,0.01942729949951172
Genetic,8,3,4227,True,9.851211547851562
Hill Climbing,8,4,2,False,0.004704713821411133
Simulated Annealing,8,4,160,True,0.0240628719329834
Genetic,8,4,10000,False,23.859673023223877
Hill Climbing,8,5,2,False,0.0019936561584472656
Simulated Annealing,8,5,411,True,0.06370663642883301
Genetic,8,5,1384,True,3.1929047107696533
Hill Climbing,8,6,3,False,0.0012507438659667969
Simulated Annealing,8,6,2524,True,0.25768470764160156
Genetic,8,6,10000,False,23.929643154144287
Hill Climbing,8,7,4,False,0.0031561851501464844
Simulated Annealing,8,7,241,True,0.022990703582763672
Genetic,8,7,1221,True,2.6267528533935547
Hill Climbing,8,8,2,False,0.0020227432250976562
Simulated Annealing,8,8,213,True,0.01161646842956543
Genetic,8,8,10000,False,24.506165504455566
Hill Climbing,8,9,3,False,0.001993417739868164
Simulated Annealing,8,9,2149,True,0.24863243103027344
Genetic,8,9,10000,False,21.804041862487793
Hill Climbing,8,10,2,False,0.0013835430145263672
Simulated Annealing,8,10,14527,False,1.1148669719696045
Genetic,8,10,1103,True,1.9927704334259033
Hill Climbing,10,1,5,False,0.009189367294311523
Simulated Annealing,10,1,14527,False,1.6662442684173584
Genetic,10,1,10000,False,32.854557514190674
Hill Climbing,10,2,3,False,0.0019922256469726562
Simulated Annealing,10,2,1746,True,0.29970502853393555
Genetic,10,2,10000,False,34.89092564582825
Hill Climbing,10,3,5,False,0.012813806533813477
Simulated Annealing,10,3,3192,True,0.4850304126739502
Genetic,10,3,1432,True,5.067753314971924
Hill Climbing,10,4,4,False,0.016445636749267578
Simulated Annealing,10,4,9531,True,1.018537998199463
Genetic,10,4,10000,False,35.110036849975586
Hill Climbing,10,5,4,False,0.010888338088989258
Simulated Annealing,10,5,14527,False,1.8893659114837646
Genetic,10,5,7371,True,25.202367305755615
Hill Climbing,10,6,6,False,0.0021872520446777344
Simulated Annealing,10,6,14527,False,1.6823256015777588
Genetic,10,6,10000,False,34.27200794219971
Hill Climbing,10,7,5,False,0.015566349029541016
Simulated Annealing,10,7,14527,False,1.9510571956634521
Genetic,10,7,10000,False,37.10066890716553
Hill Climbing,10,8,4,False,0.01029348373413086
Simulated Annealing,10,8,603,True,0.05982065200805664
Genetic,10,8,2670,True,9.164699077606201
Hill Climbing,10,9,3,False,0.0016217231750488281
Simulated Annealing,10,9,14527,False,2.085507869720459
Genetic,10,9,10000,False,34.580132722854614
Hill Climbing,10,10,6,False,0.0020287036895751953
Simulated Annealing,10,10,14527,False,1.4510209560394287
Genetic,10,10,3977,True,13.936619758605957
