id,especie,ultima_modificacion,altura,circ_tronco_cm,diametro_tronco,long,lat,seccion,nombre_seccion,area_seccion,inclinacion_peligrosa,circ_tronco_cm_cat
18902,Morera,02/08/2011 10:14,Alto (> 8 mts),160.0,Grande,-68.8408943309,-32.8704490664,4,Cuarta Oeste,1173332.70145,0,muy alto
45536,Fresno europeo,16/09/2011 14:25,Medio (4 - 8 mts),120.0,Grande,-68.8209931303,-32.8727653607,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
31098,Acer,08/02/2011 13:13,Alto (> 8 mts),132.0,Grande,-68.8541378133,-32.8646691621,6,Residencial Norte,2694682.37982,0,muy alto
7584,Olmo bola,24/06/2011 08:55,Bajo (2 - 4 mts),30.0,Mediano,-68.8525374174,-32.883467655,1,Parque Central,1655357.93265,0,medio
17708,Olmo comun,15/07/2011 10:46,Alto (> 8 mts),75.0,Grande,-68.8429257553,-32.8705544746,4,Cuarta Oeste,1173332.70145,0,alto
33033,Morera,19/05/2011 10:16,Alto (> 8 mts),195.0,Grande,-68.8520589802,-32.8872195368,5,Residencial Sur,2423808.92355,0,muy alto
42569,Morera,26/09/2011 11:01,Alto (> 8 mts),155.0,Grande,-68.8275393797,-32.8755595106,4,Cuarta Este Área Fundacional,1822015.85685,0,muy alto
13351,Morera,11/01/2011 11:14,Alto (> 8 mts),120.0,Grande,-68.8461131016,-32.8662056466,4,Cuarta Oeste,1173332.70145,1,muy alto
33330,Morera,23/05/2011 10:37,Alto (> 8 mts),160.0,Grande,-68.8565610016,-32.8913405403,5,Residencial Sur,2423808.92355,1,muy alto
14163,Morera,30/11/2011 10:27,Medio (4 - 8 mts),98.0,Grande,-68.8767147175,-32.8670973984,8,Aeroparque,2203364.73622,0,alto
27317,Pltano,25/10/2011 09:28,Alto (> 8 mts),210.0,Grande,-68.8349528859,-32.889914013,3,Parque O'Higgins,1531146.02653,0,muy alto
4729,Prunas,09/08/2011 12:34,Bajo (2 - 4 mts),40.0,Mediano,-68.8337774481,-32.8664630384,4,Cuarta Oeste,1173332.70145,0,medio
19269,Morera,02/08/2011 10:44,Alto (> 8 mts),140.0,Grande,-68.8368160012,-32.8703176234,4,Cuarta Oeste,1173332.70145,0,muy alto
42907,Olmo comun,29/09/2011 11:14,Medio (4 - 8 mts),80.0,Grande,-68.8336800215,-32.8769896334,4,Cuarta Este Área Fundacional,1822015.85685,0,alto
2420,Fresno europeo,19/10/2011 12:28,Medio (4 - 8 mts),100.0,Grande,-68.8316413623,-32.8887511335,3,Parque O'Higgins,1531146.02653,0,muy alto
12841,Paraiso,18/01/2011 12:53,Medio (4 - 8 mts),80.0,Grande,-68.8469436925,-32.863544359,4,Cuarta Oeste,1173332.70145,0,alto
41150,Morera,27/04/2011 18:17,Alto (> 8 mts),142.0,Grande,-68.8387048405,-32.8825544294,1,Parque Central,1655357.93265,0,muy alto
10731,Prunas,06/04/2011 12:01,Bajo (2 - 4 mts),20.0,Chico,-68.85822034,-32.8766988621,7,Residencial Parque,1786336.08966,0,bajo
33983,Paraiso,26/05/2011 12:43,Medio (4 - 8 mts),160.0,Grande,-68.8541036631,-32.8838928366,5,Residencial Sur,2423808.92355,0,muy alto
27,Jacarand,01/03/2012 13:41,Bajo (2 - 4 mts),18.0,Chico,-68.8558670144,-32.8959593075,5,Residencial Sur,2423808.92355,0,bajo
8766,Morera,29/03/2011 12:25,Bajo (2 - 4 mts),28.0,Mediano,-68.8492800867,-32.8755092976,6,Residencial Norte,2694682.37982,0,bajo
35296,Fresno europeo,23/06/2011 16:26,Medio (4 - 8 mts),66.0,Grande,-68.8525936634,-32.8831095194,1,Parque Central,1655357.93265,0,alto
32777,Morera,15/07/2011 08:18,Alto (> 8 mts),160.0,Grande,-68.8514509667,-32.8861163937,5,Residencial Sur,2423808.92355,0,muy alto
33946,Fresno europeo,24/05/2011 11:31,Bajo (2 - 4 mts),60.0,Mediano,-68.8528678073,-32.884639744,5,Residencial Sur,2423808.92355,0,alto
14793,Morera,06/12/2011 12:12,Medio (4 - 8 mts),104.0,Grande,-68.8797344968,-32.8685856446,8,Aeroparque,2203364.73622,0,muy alto
45655,Olmo bola,21/09/2011 12:53,Alto (> 8 mts),80.0,Grande,-68.8209835862,-32.8721975506,4,Cuarta Este Área Fundacional,1822015.85685,0,alto
42016,Morera,08/04/2011 12:24,Alto (> 8 mts),140.0,Grande,-68.841571831,-32.8806664327,1,Parque Central,1655357.93265,0,muy alto
38528,Paraiso,02/11/2010 11:11,Alto (> 8 mts),187.0,Grande,-68.8509273078,-32.8702867241,6,Residencial Norte,2694682.37982,0,muy alto
16465,Morera,16/08/2011 09:30,Alto (> 8 mts),110.0,Grande,-68.8414699257,-32.8630510781,4,Cuarta Oeste,1173332.70145,0,muy alto
37040,Pltano,05/04/2011 11:04,Alto (> 8 mts),114.0,Grande,-68.8573165647,-32.8758930646,6,Residencial Norte,2694682.37982,0,muy alto
3692,Paraiso,24/08/2011 11:33,Medio (4 - 8 mts),56.0,Mediano,-68.8186595936,-32.8688228636,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
19400,Morera,05/07/2011 09:45,Alto (> 8 mts),140.0,Grande,-68.8355898494,-32.8735329014,4,Cuarta Oeste,1173332.70145,1,muy alto
9769,Jacarand,18/01/2011 11:51,Alto (> 8 mts),80.0,Grande,-68.8463250777,-32.8638606755,4,Cuarta Oeste,1173332.70145,0,alto
29234,Pltano,25/02/2011 17:04,Alto (> 8 mts),250.0,Grande,-68.8462625185,-32.8871674475,1,Parque Central,1655357.93265,0,muy alto
21291,Paraiso,15/06/2011 09:23,Alto (> 8 mts),160.0,Grande,-68.8525607074,-32.8982932463,5,Residencial Sur,2423808.92355,0,muy alto
30004,Fresno europeo,28/04/2011 12:38,Alto (> 8 mts),140.0,Grande,-68.8413192333,-32.8868533228,3,Parque O'Higgins,1531146.02653,1,muy alto
7900,Fresno europeo,15/06/2011 13:37,Alto (> 8 mts),120.0,Grande,-68.8559830778,-32.8891150185,5,Residencial Sur,2423808.92355,0,muy alto
